audit,metric,actual,expected,status,total_rows,non_null,null,coverage_pct,value,pct_rows,rows
DATASET_STRUCTURE,ROWS,191355.0,191355.0,PASS,,,,,,,
DATASET_STRUCTURE,PLAYERS,29330.0,29330.0,PASS,,,,,,,
DATASET_STRUCTURE,SEASONS,14.0,14.0,PASS,,,,,,,
DATASET_STRUCTURE,COMPETITIONS,46.0,46.0,PASS,,,,,,,
METRIC_COVERAGE,goals_per90,,,PASS,191355.0,191355.0,0.0,100.0,,,
METRIC_COVERAGE,assists_per90,,,PASS,191355.0,191355.0,0.0,100.0,,,
METRIC_COVERAGE,xg_per90,,,INFO,191355.0,0.0,191355.0,0.0,,,
METRIC_COVERAGE,xa_per90,,,INFO,191355.0,0.0,191355.0,0.0,,,
METRIC_COVERAGE,ALL_FOUR_METRICS,,,INFO,191355.0,0.0,191355.0,0.0,,,
MINUTES,NULL_MINUTES,,,PASS,,,,,0.0,,
MINUTES,NEGATIVE_MINUTES,,,PASS,,,,,0.0,,
MINUTES,ZERO_MINUTES,,,INFO,,,,,0.0,,
MINUTES,MINUTES_LT_900,,,INFO,,,,,139308.0,72.8,
MINUTES,MINUTES_GE_900,,,INFO,,,,,52047.0,27.2,
MINUTES,MIN_MINUTES,,,INFO,,,,,1.0,,
MINUTES,MAX_MINUTES,,,INFO,,,,,3420.0,,
MINUTES,MEAN_MINUTES,,,INFO,,,,,677.3,,
MINUTES,MEDIAN_MINUTES,,,INFO,,,,,275.0,,
THEORETICAL_SCORER_STATUS,,,,INSUFFICIENT_MINUTES,,,,,,72.8,139308.0
THEORETICAL_SCORER_STATUS,,,,INSUFFICIENT_METRICS,,,,,,27.2,52047.0
PERCENTILE_GROUPS,TOTAL_GROUPS,,,INFO,,,,,438.0,,
PERCENTILE_GROUPS,GROUPS_WITH_CANDIDATE_900,,,INFO,,,,,186.0,,
PERCENTILE_GROUPS,GROUPS_WITH_ZERO_ELIGIBLE,,,INFO,,,,,438.0,,
PERCENTILE_GROUPS,GROUPS_WITH_ONE_ELIGIBLE,,,INFO,,,,,0.0,,
PERCENTILE_GROUPS,GROUPS_WITH_GE_2_ELIGIBLE,,,INFO,,,,,0.0,,
PERCENTILE_GROUPS,GROUPS_WITH_ELIGIBLE,,,INFO,,,,,0.0,,
POSITION,DISTINCT_POSITIONS,,,INFO,,,,,5.0,,
POSITION,NULL_POSITION,,,DATA_QUALITY_REVIEW,,,,,1.0,0.0,
POSITION,UNKNOWN_POSITION,,,INFO,,,,,0.0,0.0,
COMPETITION_LEVEL,DISTINCT_LEVELS,,,INFO,,,,,8.0,,
COMPETITION_LEVEL,NULL_LEVEL,,,PASS,,,,,0.0,0.0,
COMPETITION_LEVEL,UNKNOWN_LEVEL,,,INFO,,,,,7186.0,3.76,
DUPLICATES,DUPLICATE_ROWS,,,PASS,,,,,0.0,,
DUPLICATES,DUPLICATE_GROUPS,,,PASS,,,,,0.0,,
PLAYER_REFERENCE,NULL_PLAYER_ID,,,PASS,,,,,0.0,0.0,
XG_XA_BASELINE,xg,,,INFO,,0.0,191355.0,0.0,,,
XG_XA_BASELINE,xa,,,INFO,,0.0,191355.0,0.0,,,
XG_XA_BASELINE,xg_per90,,,INFO,,0.0,191355.0,0.0,,,
XG_XA_BASELINE,xa_per90,,,INFO,,0.0,191355.0,0.0,,,
PLAYER_REFERENCE,PLAYER_IDS_MISSING_FROM_PLAYERS,,,DATA_QUALITY_REVIEW,,,,,1.0,,
PLAYER_REFERENCE,ROWS_WITH_MISSING_PLAYER_REFERENCE,,,DATA_QUALITY_REVIEW,,,,,1.0,,
PLAYER_REFERENCE,ROWS_WITH_POTENTIAL_SCORING_IMPACT,,,INFO,,,,,0.0,,
