season,season_start,season_end,duration_days,games,competitions,first_competition_code,first_competition_name,first_classification_reason,last_competition_code,last_competition_name,last_classification_reason
2012,2012-07-03,2013-06-01,333,5700,41,uefa-champions-league-qualifying,uefa-champions-league-qualifying,OFFICIAL_EUROPEAN_QUALIFICATION,russian-cup,russian-cup,OFFICIAL_CLUB_COMPETITION
2013,2013-07-02,2014-05-24,326,5762,41,uefa-champions-league-qualifying,uefa-champions-league-qualifying,OFFICIAL_EUROPEAN_QUALIFICATION,uefa-champions-league,uefa-champions-league,OFFICIAL_CLUB_COMPETITION
2014,2014-07-01,2015-06-07,341,5836,41,uefa-europa-league-qualifying,uefa-europa-league-qualifying,OFFICIAL_EUROPEAN_QUALIFICATION,superliga,superliga,OFFICIAL_CLUB_COMPETITION
2015,2015-06-30,2016-05-29,334,5708,41,uefa-champions-league-qualifying,uefa-champions-league-qualifying,OFFICIAL_EUROPEAN_QUALIFICATION,superliga,superliga,OFFICIAL_CLUB_COMPETITION
2016,2016-06-28,2017-06-03,340,5699,41,uefa-champions-league-qualifying,uefa-champions-league-qualifying,OFFICIAL_EUROPEAN_QUALIFICATION,uefa-champions-league,uefa-champions-league,OFFICIAL_CLUB_COMPETITION
2017,2017-06-27,2018-05-26,333,5596,41,uefa-champions-league-qualifying,uefa-champions-league-qualifying,OFFICIAL_EUROPEAN_QUALIFICATION,uefa-champions-league,uefa-champions-league,OFFICIAL_CLUB_COMPETITION
2018,2018-06-26,2019-06-01,340,5723,41,uefa-champions-league-qualifying,uefa-champions-league-qualifying,OFFICIAL_EUROPEAN_QUALIFICATION,uefa-champions-league,uefa-champions-league,OFFICIAL_CLUB_COMPETITION
2019,2019-06-25,2021-04-03,648,5469,41,uefa-champions-league-qualifying,uefa-champions-league-qualifying,OFFICIAL_EUROPEAN_QUALIFICATION,copa-del-rey,copa-del-rey,OFFICIAL_CLUB_COMPETITION
2020,2020-08-01,2021-05-29,301,5513,39,scottish-premiership,scottish-premiership,OFFICIAL_CLUB_COMPETITION,uefa-champions-league,uefa-champions-league,OFFICIAL_CLUB_COMPETITION
2021,2021-06-22,2022-05-29,341,5875,42,uefa-champions-league-qualifying,uefa-champions-league-qualifying,OFFICIAL_EUROPEAN_QUALIFICATION,russian-cup,russian-cup,OFFICIAL_CLUB_COMPETITION
2022,2022-06-21,2024-02-25,614,6008,42,uefa-champions-league-qualifying,uefa-champions-league-qualifying,OFFICIAL_EUROPEAN_QUALIFICATION,russian-cup,russian-cup,OFFICIAL_CLUB_COMPETITION
2023,2023-06-27,2024-08-28,428,5900,43,uefa-champions-league-qualifying,uefa-champions-league-qualifying,OFFICIAL_EUROPEAN_QUALIFICATION,russian-cup,russian-cup,OFFICIAL_CLUB_COMPETITION
2024,2024-07-09,2025-12-07,516,9985,58,uefa-champions-league-qualifying,uefa-champions-league-qualifying,OFFICIAL_EUROPEAN_QUALIFICATION,campeonato-brasileiro-serie-a,campeonato-brasileiro-serie-a,OFFICIAL_CLUB_COMPETITION
2025,2025-06-15,2026-07-06,386,9441,63,uefa-champions-league-qualifying,uefa-champions-league-qualifying,OFFICIAL_CLUB_COMPETITION,allsvenskan,allsvenskan,OFFICIAL_CLUB_COMPETITION
