season,season_start_date,season_end_date,official_club_games,official_club_competitions
2012,2012-07-03,2013-06-01,5627,38
2013,2013-07-02,2014-05-24,5682,38
2014,2014-07-01,2015-06-07,5744,38
2015,2015-06-30,2016-05-29,5651,38
2016,2016-06-28,2017-06-03,5644,38
2017,2017-06-27,2018-05-26,5543,38
2018,2018-06-26,2019-06-01,5671,38
2019,2019-06-25,2021-04-03,5415,38
2020,2020-08-01,2021-05-29,5498,36
2021,2021-06-22,2022-05-29,5830,40
2022,2022-06-21,2023-06-11,5845,39
2023,2023-06-27,2024-06-02,5796,40
2024,2024-07-09,2025-12-07,9978,57
2025,2025-07-08,2026-07-06,9078,59
