game_id,season,date,competition_id,home_club_id,away_club_id,home_club_goals,away_club_goals,competition_type,competition_code,competition_name,competition_sub_type,competition_metadata_type,country_name,confederation,scope_status,scope_reason
2234404,2012,2012-07-09,UKRS,2783,660,0,2,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2247452,2012,2012-07-28,POCP,10140,8024,4,2,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2247453,2012,2012-07-29,POCP,68608,8827,1,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2247454,2012,2012-07-29,POCP,2421,976,1,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2247455,2012,2012-07-29,POCP,4814,5227,3,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2247456,2012,2012-07-29,POCP,3349,3327,2,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2247457,2012,2012-07-29,POCP,7378,3345,1,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2247458,2012,2012-07-29,POCP,3336,3348,5,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2247459,2012,2012-07-29,POCP,7179,2423,0,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2252852,2012,2012-08-01,POCP,976,8827,2,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2252853,2012,2012-08-01,POCP,8024,5227,2,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2252854,2012,2012-08-01,POCP,68608,2421,1,0,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2252855,2012,2012-08-01,POCP,4814,10140,1,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2252856,2012,2012-08-01,POCP,3349,7378,2,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2252857,2012,2012-08-01,POCP,3345,3327,1,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2252858,2012,2012-08-01,POCP,3336,7179,3,0,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2252859,2012,2012-08-01,POCP,2423,3348,5,0,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2258399,2012,2012-08-05,POCP,976,68608,1,0,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2258400,2012,2012-08-05,POCP,8827,2421,1,2,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2258401,2012,2012-08-05,POCP,8024,4814,0,0,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2258402,2012,2012-08-05,POCP,5227,10140,1,0,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2258403,2012,2012-08-05,POCP,3348,7179,0,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2258404,2012,2012-08-05,POCP,3345,3349,0,0,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2258405,2012,2012-08-05,POCP,3327,7378,1,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2258406,2012,2012-08-05,POCP,2423,3336,3,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2264589,2012,2012-09-08,POCP,3345,1085,0,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2264590,2012,2012-09-08,POCP,10140,2990,2,0,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2264591,2012,2012-09-09,POCP,4814,2424,1,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2264592,2012,2012-09-13,POCP,976,1465,0,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2271095,2012,2012-09-19,POCP,1085,3345,1,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2264593,2012,2012-09-26,POCP,3349,979,1,0,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2264594,2012,2012-09-26,POCP,2423,1436,0,1,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
2264595,2012,2012-09-26,POCP,2421,2425,2,3,,,,,,,,REVIEW,insufficient competition metadata to determine official club competition
