player,season,season_start_date,season_end_date,competition,competition_level,team,position,minutes,appearances,starts,goals,assists,xg,xa,goals_per90,assists_per90,xg_per90,xa_per90
FW Low,2022/23,2022-08-01,2023-06-03,Ligue 1,TOP_5,Club FW Low,FW,1800,24,18,6,3,7.2,3.6,0.300000,0.150000,0.360000,0.180000
FW Medium,2022/23,2022-08-01,2023-06-03,Ligue 1,TOP_5,Club FW Medium,FW,1800,24,20,12,6,13.5,6.3,0.600000,0.300000,0.675000,0.315000
FW High,2022/23,2022-08-01,2023-06-03,Ligue 1,TOP_5,Club FW High,FW,1800,24,22,20,10,19.8,9.0,1.000000,0.500000,0.990000,0.450000
FW Low 2,2023/24,2023-08-01,2024-05-19,Ligue 1,TOP_5,Club FW Low 2,FW,1800,24,18,7,4,8.1,4.0,0.350000,0.200000,0.405000,0.200000
FW Medium 2,2023/24,2023-08-01,2024-05-19,Ligue 1,TOP_5,Club FW Medium 2,FW,1800,24,20,13,7,14.4,6.8,0.650000,0.350000,0.720000,0.340000
FW High 2,2023/24,2023-08-01,2024-05-19,Ligue 1,TOP_5,Club FW High 2,FW,1800,24,22,21,11,20.7,9.5,1.050000,0.550000,1.035000,0.475000
MF Low,2022/23,2022-08-01,2023-06-03,Ligue 2,SECOND_TIER,Club MF Low,MF,1800,24,18,3,5,5.4,8.1,0.150000,0.250000,0.270000,0.405000
MF Medium,2022/23,2022-08-01,2023-06-03,Ligue 2,SECOND_TIER,Club MF Medium,MF,1800,24,20,7,10,9.0,13.5,0.350000,0.500000,0.450000,0.675000
MF High,2022/23,2022-08-01,2023-06-03,Ligue 2,SECOND_TIER,Club MF High,MF,1800,24,22,12,15,13.5,18.0,0.600000,0.750000,0.675000,0.900000
MF Low 2,2023/24,2023-08-01,2024-05-17,Ligue 2,SECOND_TIER,Club MF Low 2,MF,1800,24,18,4,6,6.3,9.0,0.200000,0.300000,0.315000,0.450000
MF Medium 2,2023/24,2023-08-01,2024-05-17,Ligue 2,SECOND_TIER,Club MF Medium 2,MF,1800,24,20,8,11,9.9,14.4,0.400000,0.550000,0.495000,0.720000
MF High 2,2023/24,2023-08-01,2024-05-17,Ligue 2,SECOND_TIER,Club MF High 2,MF,1800,24,22,13,16,14.4,19.8,0.650000,0.800000,0.720000,0.990000
FW Low 3,2022/23,2022-08-01,2023-06-03,Ligue 1,TOP_5,Club FW Low 3,FW,1800,24,18,8,4,8.1,4.2,0.400000,0.200000,0.405000,0.210000
FW Medium 3,2022/23,2022-08-01,2023-06-03,Ligue 1,TOP_5,Club FW Medium 3,FW,1800,24,20,14,7,15.3,7.2,0.700000,0.350000,0.765000,0.360000
FW High 3,2022/23,2022-08-01,2023-06-03,Ligue 1,TOP_5,Club FW High 3,FW,1800,24,22,22,11,21.6,10.0,1.100000,0.550000,1.080000,0.500000
MF Low 3,2022/23,2022-08-01,2023-06-03,Ligue 2,SECOND_TIER,Club MF Low 3,MF,1800,24,18,4,6,6.3,9.0,0.200000,0.300000,0.315000,0.450000
MF Medium 3,2022/23,2022-08-01,2023-06-03,Ligue 2,SECOND_TIER,Club MF Medium 3,MF,1800,24,20,8,11,9.9,14.4,0.400000,0.550000,0.495000,0.720000
MF High 3,2022/23,2022-08-01,2023-06-03,Ligue 2,SECOND_TIER,Club MF High 3,MF,1800,24,22,13,16,14.4,19.8,0.650000,0.800000,0.720000,0.990000
FW Low 4,2023/24,2023-08-01,2024-05-19,Ligue 1,TOP_5,Club FW Low 4,FW,1800,24,18,8,4,8.1,4.2,0.400000,0.200000,0.405000,0.210000
FW Medium 4,2023/24,2023-08-01,2024-05-19,Ligue 1,TOP_5,Club FW Medium 4,FW,1800,24,20,14,7,15.3,7.2,0.700000,0.350000,0.765000,0.360000
FW High 4,2023/24,2023-08-01,2024-05-19,Ligue 1,TOP_5,Club FW High 4,FW,1800,24,22,22,11,21.6,10.0,1.100000,0.550000,1.080000,0.500000
MF Low 4,2023/24,2023-08-01,2024-05-17,Ligue 2,SECOND_TIER,Club MF Low 4,MF,1800,24,18,4,6,6.3,9.0,0.200000,0.300000,0.315000,0.450000
MF Medium 4,2023/24,2023-08-01,2024-05-17,Ligue 2,SECOND_TIER,Club MF Medium 4,MF,1800,24,20,8,11,9.9,14.4,0.400000,0.550000,0.495000,0.720000
MF High 4,2023/24,2023-08-01,2024-05-17,Ligue 2,SECOND_TIER,Club MF High 4,MF,1800,24,22,13,16,14.4,19.8,0.650000,0.800000,0.720000,0.990000
