player,season,season_start_date,season_end_date,competition,competition_level,team,position,minutes,appearances,starts,goals,assists,xg,xa,goals_per90,assists_per90,xg_per90,xa_per90,performance_score,performance_percentile,performance_score_status
FW Low,2022/23,2022-08-01,2023-06-03,Ligue 1,TOP_5,Club FW Low,FW,1800,24,18,6,3,7.2,3.6,0.3,0.15,0.36,0.18,0.26399999999999996,0.16666666666666666,VALID
FW Medium,2022/23,2022-08-01,2023-06-03,Ligue 1,TOP_5,Club FW Medium,FW,1800,24,20,12,6,13.5,6.3,0.6,0.3,0.675,0.315,0.5055000000000001,0.5,VALID
FW High,2022/23,2022-08-01,2023-06-03,Ligue 1,TOP_5,Club FW High,FW,1800,24,22,20,10,19.8,9.0,1.0,0.5,0.99,0.45,0.787,0.8333333333333334,VALID
FW Low 2,2023/24,2023-08-01,2024-05-19,Ligue 1,TOP_5,Club FW Low 2,FW,1800,24,18,7,4,8.1,4.0,0.35,0.2,0.405,0.2,0.3065,0.16666666666666666,VALID
FW Medium 2,2023/24,2023-08-01,2024-05-19,Ligue 1,TOP_5,Club FW Medium 2,FW,1800,24,20,13,7,14.4,6.8,0.65,0.35,0.72,0.34,0.5489999999999999,0.5,VALID
FW High 2,2023/24,2023-08-01,2024-05-19,Ligue 1,TOP_5,Club FW High 2,FW,1800,24,22,21,11,20.7,9.5,1.05,0.55,1.035,0.475,0.8305,0.8333333333333334,VALID
MF Low,2022/23,2022-08-01,2023-06-03,Ligue 2,SECOND_TIER,Club MF Low,MF,1800,24,18,3,5,5.4,8.1,0.15,0.25,0.27,0.405,0.257,0.16666666666666666,VALID
MF Medium,2022/23,2022-08-01,2023-06-03,Ligue 2,SECOND_TIER,Club MF Medium,MF,1800,24,20,7,10,9.0,13.5,0.35,0.5,0.45,0.675,0.47500000000000003,0.5,VALID
MF High,2022/23,2022-08-01,2023-06-03,Ligue 2,SECOND_TIER,Club MF High,MF,1800,24,22,12,15,13.5,18.0,0.6,0.75,0.675,0.9,0.7125,0.8333333333333334,VALID
MF Low 2,2023/24,2023-08-01,2024-05-17,Ligue 2,SECOND_TIER,Club MF Low 2,MF,1800,24,18,4,6,6.3,9.0,0.2,0.3,0.315,0.45,0.3045,0.25,VALID
MF Medium 2,2023/24,2023-08-01,2024-05-17,Ligue 2,SECOND_TIER,Club MF Medium 2,MF,1800,24,20,8,11,9.9,14.4,0.4,0.55,0.495,0.72,0.5225,0.5833333333333334,VALID
MF High 2,2023/24,2023-08-01,2024-05-17,Ligue 2,SECOND_TIER,Club MF High 2,MF,1800,24,22,13,16,14.4,19.8,0.65,0.8,0.72,0.99,0.7690000000000001,0.9166666666666666,VALID
FW Low 3,2022/23,2022-08-01,2023-06-03,Ligue 1,TOP_5,Club FW Low 3,FW,1800,24,18,8,4,8.1,4.2,0.4,0.2,0.405,0.21,0.32349999999999995,0.3333333333333333,VALID
FW Medium 3,2022/23,2022-08-01,2023-06-03,Ligue 1,TOP_5,Club FW Medium 3,FW,1800,24,20,14,7,15.3,7.2,0.7,0.35,0.765,0.36,0.5814999999999999,0.6666666666666666,VALID
FW High 3,2022/23,2022-08-01,2023-06-03,Ligue 1,TOP_5,Club FW High 3,FW,1800,24,22,22,11,21.6,10.0,1.1,0.55,1.08,0.5,0.864,1.0,VALID
MF Low 3,2022/23,2022-08-01,2023-06-03,Ligue 2,SECOND_TIER,Club MF Low 3,MF,1800,24,18,4,6,6.3,9.0,0.2,0.3,0.315,0.45,0.3045,0.3333333333333333,VALID
MF Medium 3,2022/23,2022-08-01,2023-06-03,Ligue 2,SECOND_TIER,Club MF Medium 3,MF,1800,24,20,8,11,9.9,14.4,0.4,0.55,0.495,0.72,0.5225,0.6666666666666666,VALID
MF High 3,2022/23,2022-08-01,2023-06-03,Ligue 2,SECOND_TIER,Club MF High 3,MF,1800,24,22,13,16,14.4,19.8,0.65,0.8,0.72,0.99,0.7690000000000001,1.0,VALID
FW Low 4,2023/24,2023-08-01,2024-05-19,Ligue 1,TOP_5,Club FW Low 4,FW,1800,24,18,8,4,8.1,4.2,0.4,0.2,0.405,0.21,0.32349999999999995,0.3333333333333333,VALID
FW Medium 4,2023/24,2023-08-01,2024-05-19,Ligue 1,TOP_5,Club FW Medium 4,FW,1800,24,20,14,7,15.3,7.2,0.7,0.35,0.765,0.36,0.5814999999999999,0.6666666666666666,VALID
FW High 4,2023/24,2023-08-01,2024-05-19,Ligue 1,TOP_5,Club FW High 4,FW,1800,24,22,22,11,21.6,10.0,1.1,0.55,1.08,0.5,0.864,1.0,VALID
MF Low 4,2023/24,2023-08-01,2024-05-17,Ligue 2,SECOND_TIER,Club MF Low 4,MF,1800,24,18,4,6,6.3,9.0,0.2,0.3,0.315,0.45,0.3045,0.25,VALID
MF Medium 4,2023/24,2023-08-01,2024-05-17,Ligue 2,SECOND_TIER,Club MF Medium 4,MF,1800,24,20,8,11,9.9,14.4,0.4,0.55,0.495,0.72,0.5225,0.5833333333333334,VALID
MF High 4,2023/24,2023-08-01,2024-05-17,Ligue 2,SECOND_TIER,Club MF High 4,MF,1800,24,22,13,16,14.4,19.8,0.65,0.8,0.72,0.99,0.7690000000000001,0.9166666666666666,VALID
